Date,Border,Monthly_Crossings,Year,Month,Month_Name
2008-11-01,Canada,7205203,2008,11,November
2008-11-01,Mexico,23540428,2008,11,November
2008-12-01,Canada,6409379,2008,12,December
2008-12-01,Mexico,24609264,2008,12,December
2009-01-01,Canada,6094452,2009,1,January
2009-01-01,Mexico,23074489,2009,1,January
2009-02-01,Canada,5954559,2009,2,February
2009-02-01,Mexico,20166601,2009,2,February
2009-03-01,Canada,6959492,2009,3,March
2009-03-01,Mexico,22785640,2009,3,March
2009-04-01,Canada,7160718,2009,4,April
2009-04-01,Mexico,21853939,2009,4,April
2009-05-01,Canada,8269536,2009,5,May
2009-05-01,Mexico,22173717,2009,5,May
2009-06-01,Canada,7966666,2009,6,June
2009-06-01,Mexico,21510466,2009,6,June
2009-07-01,Canada,10216612,2009,7,July
2009-07-01,Mexico,22810047,2009,7,July
2009-08-01,Canada,11015365,2009,8,August
2009-08-01,Mexico,23370275,2009,8,August
2009-09-01,Canada,8593289,2009,9,September
2009-09-01,Mexico,20688501,2009,9,September
2009-10-01,Canada,8054991,2009,10,October
2009-10-01,Mexico,21415936,2009,10,October
2009-11-01,Canada,7388756,2009,11,November
2009-11-01,Mexico,21312898,2009,11,November
2009-12-01,Canada,7327081,2009,12,December
2009-12-01,Mexico,23287736,2009,12,December
2010-01-01,Canada,6530077,2010,1,January
2010-01-01,Mexico,21288229,2010,1,January
2010-02-01,Canada,6263335,2010,2,February
2010-02-01,Mexico,18917602,2010,2,February
2010-03-01,Canada,7591262,2010,3,March
2010-03-01,Mexico,21350827,2010,3,March
2010-04-01,Canada,7857018,2010,4,April
2010-04-01,Mexico,20348225,2010,4,April
2010-05-01,Canada,8505955,2010,5,May
2010-05-01,Mexico,20980707,2010,5,May
2010-06-01,Canada,8867215,2010,6,June
2010-06-01,Mexico,19998601,2010,6,June
2010-07-01,Canada,11366681,2010,7,July
2010-07-01,Mexico,20512622,2010,7,July
2010-08-01,Canada,11486184,2010,8,August
2010-08-01,Mexico,20758803,2010,8,August
2010-09-01,Canada,9048099,2010,9,September
2010-09-01,Mexico,18847976,2010,9,September
2010-10-01,Canada,8669030,2010,10,October
2010-10-01,Mexico,20239086,2010,10,October
