Date,Border,Monthly_Crossings,Year,Month,Month_Name
2010-01-01,Canada,3709352,2010,1,January
2010-01-01,Mexico,14889098,2010,1,January
2010-02-01,Canada,3509736,2010,2,February
2010-02-01,Mexico,13065517,2010,2,February
2010-03-01,Canada,4327611,2010,3,March
2010-03-01,Mexico,14764596,2010,3,March
2010-04-01,Canada,4576745,2010,4,April
2010-04-01,Mexico,14117457,2010,4,April
2010-05-01,Canada,5007170,2010,5,May
2010-05-01,Mexico,14596905,2010,5,May
2010-06-01,Canada,5219005,2010,6,June
2010-06-01,Mexico,13844986,2010,6,June
2010-07-01,Canada,7150354,2010,7,July
2010-07-01,Mexico,14365668,2010,7,July
2010-08-01,Canada,7167449,2010,8,August
2010-08-01,Mexico,14489285,2010,8,August
2010-09-01,Canada,5373066,2010,9,September
2010-09-01,Mexico,12928167,2010,9,September
2010-10-01,Canada,5098501,2010,10,October
2010-10-01,Mexico,14041768,2010,10,October
2010-11-01,Canada,4287280,2010,11,November
2010-11-01,Mexico,12847513,2010,11,November
2010-12-01,Canada,4459108,2010,12,December
2010-12-01,Mexico,14396532,2010,12,December
2011-01-01,Canada,3640778,2011,1,January
2011-01-01,Mexico,13083314,2011,1,January
2011-02-01,Canada,3527339,2011,2,February
2011-02-01,Mexico,11442868,2011,2,February
2011-03-01,Canada,4456453,2011,3,March
2011-03-01,Mexico,13145913,2011,3,March
2011-04-01,Canada,4758211,2011,4,April
2011-04-01,Mexico,12922956,2011,4,April
2011-05-01,Canada,5187798,2011,5,May
2011-05-01,Mexico,12875931,2011,5,May
2011-06-01,Canada,5485047,2011,6,June
2011-06-01,Mexico,12314009,2011,6,June
2011-07-01,Canada,7521719,2011,7,July
2011-07-01,Mexico,13320309,2011,7,July
2011-08-01,Canada,7425190,2011,8,August
2011-08-01,Mexico,12986259,2011,8,August
2011-09-01,Canada,5518865,2011,9,September
2011-09-01,Mexico,11978212,2011,9,September
2011-10-01,Canada,5149051,2011,10,October
2011-10-01,Mexico,12782924,2011,10,October
2011-11-01,Canada,4649982,2011,11,November
2011-11-01,Mexico,12607895,2011,11,November
2011-12-01,Canada,4999021,2011,12,December
2011-12-01,Mexico,14246260,2011,12,December
2012-01-01,Canada,3886017,2012,1,January
2012-01-01,Mexico,13111951,2012,1,January
2012-02-01,Canada,4028888,2012,2,February
2012-02-01,Mexico,12201723,2012,2,February
2012-03-01,Canada,4980183,2012,3,March
2012-03-01,Mexico,13363907,2012,3,March
2012-04-01,Canada,4928142,2012,4,April
2012-04-01,Mexico,13271081,2012,4,April
2012-05-01,Canada,5371258,2012,5,May
2012-05-01,Mexico,13101581,2012,5,May
2012-06-01,Canada,5926274,2012,6,June
2012-06-01,Mexico,12589608,2012,6,June
2012-07-01,Canada,7418350,2012,7,July
2012-07-01,Mexico,13781900,2012,7,July
2012-08-01,Canada,8005325,2012,8,August
2012-08-01,Mexico,13375604,2012,8,August
2012-09-01,Canada,5623755,2012,9,September
2012-09-01,Mexico,12592067,2012,9,September
2012-10-01,Canada,5121330,2012,10,October
2012-10-01,Mexico,13072758,2012,10,October
2012-11-01,Canada,4821056,2012,11,November
2012-11-01,Mexico,13440337,2012,11,November
2012-12-01,Canada,5027126,2012,12,December
2012-12-01,Mexico,15158664,2012,12,December
2013-01-01,Canada,4041349,2013,1,January
2013-01-01,Mexico,13381978,2013,1,January
2013-02-01,Canada,3974896,2013,2,February
2013-02-01,Mexico,12206048,2013,2,February
2013-03-01,Canada,5233372,2013,3,March
2013-03-01,Mexico,14159526,2013,3,March
2013-04-01,Canada,4614270,2013,4,April
2013-04-01,Mexico,13224518,2013,4,April
2013-05-01,Canada,5463454,2013,5,May
2013-05-01,Mexico,13659556,2013,5,May
2013-06-01,Canada,6022295,2013,6,June
2013-06-01,Mexico,13442770,2013,6,June
2013-07-01,Canada,7426187,2013,7,July
2013-07-01,Mexico,14633155,2013,7,July
2013-08-01,Canada,8222184,2013,8,August
2013-08-01,Mexico,14461525,2013,8,August
2013-09-01,Canada,5413531,2013,9,September
2013-09-01,Mexico,13152572,2013,9,September
2013-10-01,Canada,5249444,2013,10,October
2013-10-01,Mexico,13801563,2013,10,October
2013-11-01,Canada,4849352,2013,11,November
2013-11-01,Mexico,14074285,2013,11,November
2013-12-01,Canada,4925814,2013,12,December
2013-12-01,Mexico,15953545,2013,12,December
2014-01-01,Canada,3861811,2014,1,January
2014-01-01,Mexico,14255925,2014,1,January
2014-02-01,Canada,3648700,2014,2,February
2014-02-01,Mexico,12691834,2014,2,February
2014-03-01,Canada,4609056,2014,3,March
2014-03-01,Mexico,14705193,2014,3,March
2014-04-01,Canada,4727188,2014,4,April
2014-04-01,Mexico,14371511,2014,4,April
2014-05-01,Canada,5458298,2014,5,May
2014-05-01,Mexico,14489063,2014,5,May
2014-06-01,Canada,5869720,2014,6,June
2014-06-01,Mexico,13745895,2014,6,June
2014-07-01,Canada,7182734,2014,7,July
2014-07-01,Mexico,14850477,2014,7,July
2014-08-01,Canada,8039569,2014,8,August
2014-08-01,Mexico,14755977,2014,8,August
2014-09-01,Canada,5184037,2014,9,September
2014-09-01,Mexico,13545595,2014,9,September
2014-10-01,Canada,5024925,2014,10,October
2014-10-01,Mexico,14581151,2014,10,October
2014-11-01,Canada,4422315,2014,11,November
2014-11-01,Mexico,14999747,2014,11,November
2014-12-01,Canada,4619856,2014,12,December
2014-12-01,Mexico,16268235,2014,12,December
2015-01-01,Canada,3554802,2015,1,January
2015-01-01,Mexico,14881914,2015,1,January
2015-02-01,Canada,3224154,2015,2,February
2015-02-01,Mexico,13387097,2015,2,February
2015-03-01,Canada,3988927,2015,3,March
2015-03-01,Mexico,15391781,2015,3,March
2015-04-01,Canada,4061155,2015,4,April
2015-04-01,Mexico,14813925,2015,4,April
2015-05-01,Canada,4903198,2015,5,May
2015-05-01,Mexico,15448863,2015,5,May
2015-06-01,Canada,5245945,2015,6,June
2015-06-01,Mexico,14611472,2015,6,June
2015-07-01,Canada,6776789,2015,7,July
2015-07-01,Mexico,15743156,2015,7,July
2015-08-01,Canada,6612440,2015,8,August
2015-08-01,Mexico,15446791,2015,8,August
2015-09-01,Canada,4660433,2015,9,September
2015-09-01,Mexico,14174364,2015,9,September
2015-10-01,Canada,4270697,2015,10,October
2015-10-01,Mexico,15320527,2015,10,October
2015-11-01,Canada,3697058,2015,11,November
2015-11-01,Mexico,15367854,2015,11,November
2015-12-01,Canada,3896454,2015,12,December
2015-12-01,Mexico,16693442,2015,12,December
2016-01-01,Canada,3221659,2016,1,January
2016-01-01,Mexico,15298927,2016,1,January
2016-02-01,Canada,2935967,2016,2,February
2016-02-01,Mexico,14226421,2016,2,February
2016-03-01,Canada,3691493,2016,3,March
2016-03-01,Mexico,15966880,2016,3,March
2016-04-01,Canada,3641709,2016,4,April
2016-04-01,Mexico,14997621,2016,4,April
2016-05-01,Canada,4459088,2016,5,May
2016-05-01,Mexico,15737856,2016,5,May
2016-06-01,Canada,4893190,2016,6,June
2016-06-01,Mexico,14764287,2016,6,June
2016-07-01,Canada,6650985,2016,7,July
2016-07-01,Mexico,16186248,2016,7,July
2016-08-01,Canada,6418346,2016,8,August
2016-08-01,Mexico,15658360,2016,8,August
2016-09-01,Canada,4792640,2016,9,September
2016-09-01,Mexico,14750982,2016,9,September
2016-10-01,Canada,4344531,2016,10,October
2016-10-01,Mexico,15706417,2016,10,October
2016-11-01,Canada,3655017,2016,11,November
2016-11-01,Mexico,15309762,2016,11,November
2016-12-01,Canada,3795624,2016,12,December
2016-12-01,Mexico,16551752,2016,12,December
2017-01-01,Canada,3229664,2017,1,January
2017-01-01,Mexico,15310009,2017,1,January
2017-02-01,Canada,2989892,2017,2,February
2017-02-01,Mexico,13582669,2017,2,February
2017-03-01,Canada,3529604,2017,3,March
2017-03-01,Mexico,15771653,2017,3,March
2017-04-01,Canada,3871686,2017,4,April
2017-04-01,Mexico,15879080,2017,4,April
2017-05-01,Canada,4166222,2017,5,May
2017-05-01,Mexico,15765763,2017,5,May
2017-06-01,Canada,4790554,2017,6,June
2017-06-01,Mexico,15120994,2017,6,June
2017-07-01,Canada,6534917,2017,7,July
2017-07-01,Mexico,16571340,2017,7,July
2017-08-01,Canada,6611435,2017,8,August
2017-08-01,Mexico,15938659,2017,8,August
2017-09-01,Canada,4844078,2017,9,September
2017-09-01,Mexico,14911368,2017,9,September
2017-10-01,Canada,4348716,2017,10,October
2017-10-01,Mexico,16022469,2017,10,October
2017-11-01,Canada,3770655,2017,11,November
2017-11-01,Mexico,15913358,2017,11,November
2017-12-01,Canada,4049308,2017,12,December
2017-12-01,Mexico,17178416,2017,12,December
2018-01-01,Canada,3229859,2018,1,January
2018-01-01,Mexico,16030128,2018,1,January
2018-02-01,Canada,3128722,2018,2,February
2018-02-01,Mexico,14522128,2018,2,February
2018-03-01,Canada,4203301,2018,3,March
