Date,Port Name,State,Port Code,Border,Measure,Value,Year,Month,Month_Name,Quarter,Region
1996-01-01,Massena,New York,704,Canada,Commercial Transportation,3796,1996,1,January,1,Northeast
1996-01-01,Massena,New York,704,Canada,Personal Transportation,269674,1996,1,January,1,Northeast
1996-01-01,Massena,New York,704,Canada,Public Transportation,8350,1996,1,January,1,Northeast
1996-01-01,Metaline Falls,Washington,3025,Canada,Commercial Transportation,526,1996,1,January,1,Pacific Northwest
1996-01-01,Metaline Falls,Washington,3025,Canada,Personal Transportation,6810,1996,1,January,1,Pacific Northwest
1996-01-01,Metaline Falls,Washington,3025,Canada,Public Transportation,274,1996,1,January,1,Pacific Northwest
1996-01-01,Morgan,Montana,3319,Canada,Commercial Transportation,142,1996,1,January,1,Northern Plains
1996-01-01,Morgan,Montana,3319,Canada,Personal Transportation,1121,1996,1,January,1,Northern Plains
1996-01-01,Naco,Arizona,2603,Mexico,Commercial Transportation,637,1996,1,January,1,Southwest
1996-01-01,Naco,Arizona,2603,Mexico,Personal Transportation,89172,1996,1,January,1,Southwest
1996-01-01,Neche,North Dakota,3404,Canada,Commercial Transportation,1470,1996,1,January,1,Northern Plains
1996-01-01,Neche,North Dakota,3404,Canada,Personal Transportation,10128,1996,1,January,1,Northern Plains
1996-01-01,Nighthawk,Washington,3011,Canada,Commercial Transportation,24,1996,1,January,1,Pacific Northwest
1996-01-01,Nighthawk,Washington,3011,Canada,Personal Transportation,1359,1996,1,January,1,Pacific Northwest
1996-01-01,Nogales,Arizona,2604,Mexico,Commercial Transportation,48685,1996,1,January,1,Southwest
1996-01-01,Nogales,Arizona,2604,Mexico,Personal Transportation,1446004,1996,1,January,1,Southwest
1996-01-01,Nogales,Arizona,2604,Mexico,Public Transportation,827,1996,1,January,1,Southwest
1996-01-01,Nogales,Arizona,2604,Mexico,Rail Transportation,2381,1996,1,January,1,Southwest
1996-01-01,Noonan,North Dakota,3420,Canada,Commercial Transportation,132,1996,1,January,1,Northern Plains
1996-01-01,Noonan,North Dakota,3420,Canada,Personal Transportation,8593,1996,1,January,1,Northern Plains
1996-01-01,Northgate,North Dakota,3406,Canada,Commercial Transportation,3199,1996,1,January,1,Northern Plains
